accumulator restore on abort: N=20 (medium driver load)	1550.00
accumulator restore on abort: N=100 (worst case)	16270.00
ui: flat 100 reactives (root mutation)	18840.00
ui: flat 1000 reactives (root mutation)	251970.00
ui: layered 1000 reactives via 1 memo (root mutation)	277260.00
ui: flat 1000 reactives, only 10 subscribed (sparse mutation)	1950.00
ui: tree 1023 memos + 512 leaf reactives (root mutation)	688820.00
applicative-probe: map1 dynamic Derived stale	468.11
applicative-probe: map1 manual fixed-dep lower bound	83.54
applicative-probe: map2 dynamic Derived stale	531.36
applicative-probe: map2 manual fixed-dep lower bound	97.34
applicative-probe: map3 dynamic Derived stale	603.05
applicative-probe: map3 manual fixed-dep lower bound	109.66
graph editor: coarse parameter edit full render 100 nodes	8100.00
graph editor: coarse parameter edit full render 1000 nodes	61490.00
graph editor: per-node DerivedMap parameter edit full render 100 nodes	64110.00
graph editor: per-node DerivedMap parameter edit full render 1000 nodes	728100.00
graph editor: ReachableDerived sparse inspector parameter edit 100 nodes	5440.00
graph editor: ReachableDerived sparse inspector parameter edit 1000 nodes	34770.00
graph editor: coarse viewport pan/zoom full render 1000 nodes	13600.00
graph editor: per-node DerivedMap viewport pan/zoom full render 1000 nodes	296300.00
graph editor: ReachableDerived sparse inspector hover change 1000 nodes	1400.00
graph editor: coarse live drag preview 60 frames full render 1000 nodes	848280.00
graph editor: per-node DerivedMap live drag preview 60 frames full render 1000 nodes	19150000.00
graph editor: coarse MoveNodes commit full render 1000 nodes	62410.00
dsl authoring: coarse staged pipeline 20 nodes	3690.00
dsl authoring: coarse staged pipeline 100 nodes	7810.00
dsl authoring: coarse staged pipeline 500 nodes	27120.00
dsl authoring: coarse staged pipeline 1000 nodes	51840.00
dsl authoring: per-node DerivedMap full terminal 20 nodes	12530.00
dsl authoring: per-node DerivedMap full terminal 100 nodes	58730.00
dsl authoring: per-node DerivedMap full terminal 500 nodes	311830.00
dsl authoring: per-node DerivedMap full terminal 1000 nodes	665010.00
dsl authoring: ReachableDerived sparse inspector 20 nodes	2110.00
dsl authoring: ReachableDerived sparse inspector 100 nodes	3430.00
dsl authoring: ReachableDerived sparse inspector 500 nodes	9380.00
dsl authoring: ReachableDerived sparse inspector 1000 nodes	17000.00
runtime: new (full, all modes)	243.54
input: get	24.33
input: set same value (no-op)	9.86
input: set new value	58.38
memo: get warm (up-to-date, no recompute)	137.35
memo: get stale (input changed, recompute)	595.79
memo: deep chain get (100 levels, stale)	30610.00
memo: wide fanout get (1 input, 50 memos, stale)	26830.00
memo: no-accumulator recompute fanout	26770.00
hybrid: get warm (up-to-date, no recompute)	147.16
hybrid: get stale (input changed, recompute)	592.86
batch: 10 inputs, single revision	1350.00
baseline: input.set with clean runtime	60.70
baseline: input.set with 10k unreferenced memos	59.15
baseline: memo creation cost (monotonic SoA growth)	1770.00
baseline: push propagation with 100 live reactives	19270.00
baseline: push propagation with 100 disposed reactives	59.32
baseline: push propagation with 100 abandoned reactives (handle dropped)	19230.00
baseline: reactive create-dispose cycle (existing free list)	1410.00
layer1: memo create-dispose cycle (free list)	2210.00
layer1: input create-dispose cycle (free list)	757.96
layer2: scope create and dispose (empty)	27.89
layer2: scope create 10 inputs and dispose	13060.00
layer2: scope bulk dispose 100 mixed cells	138260.00
layer2: nested scope (3 levels) create and dispose	3580.00
observer: get warm (memo)	38.42
observer: observe + dispose cycle	139.68
gc: sweep 1k all-live	162900.00
gc: sweep 1k all-dead	2780.00
gc: sweep 1k 50pct dead	74450.00
runtime: read one-shot	138.80
fixpoint: one iteration, empty delta (stable convergence)	56.87
fixpoint: one iteration, single fact delta (identity rule)	1330.00
diagnostic: input set with cold runtime (no reactives ever created)	58.75
diagnostic: input set with 100 disposed reactives on separate input	59.30
linklist-port: fanout 500 reactives, steady-state set	117440.00
linklist-port: fanout 1000 reactives, steady-state set	255750.00
linklist-port: branchy-rebind 100 reactives	55830.00
json: 20-member object - full reparse	56410.00
json: 20-member object - incremental (edit last value)	188030.00
json: 50-member object - full reparse	130480.00
json: 50-member object - incremental (edit inner object)	121660.00
json: 100-member object - full reparse	259600.00
json: 100-member object - incremental (edit inner object)	226210.00
json: 50-element array - full reparse	103400.00
json: 50-element array - incremental (edit nested object)	94250.00
zero-copy: tokenize - integers (baseline)	11190.00
zero-copy: tokenize - short identifiers	11690.00
zero-copy: tokenize - long identifiers	64590.00
zero-copy: full parse - integers (baseline)	37250.00
zero-copy: full parse - short identifiers	37610.00
zero-copy: full parse - long identifiers	94670.00
parser: cold - new + ast()	24650.00
parser: warm - ast() with no source change	47.69
parser: identity - set_source(same) + ast()	77.96
parser: full recompute - set_source(new) + ast()	21290.00
parser: undo/redo cycle (set_source)	21190.00
parser: apply_edit - single char flip in nested lambda	24510.00
parity: imperative edit - let init edit	13380.00
parity: parser apply_edit - let init edit	17460.00
parser: diagnostics - valid ↔ malformed cycle	7760.00
realistic: 40 defs - full reparse	352790.00
realistic: 40 defs - incremental (edit tail)	555750.00
realistic: 40 defs - incremental (edit head block)	244630.00
realistic: 40 defs - incremental (edit middle block)	247490.00
realistic: 80 defs - full reparse	720210.00
realistic: 80 defs - incremental (edit tail)	1180000.00
realistic: 80 defs - incremental (edit middle block)	478320.00
realistic: 160 defs - full reparse	1710000.00
realistic: 160 defs - incremental (edit tail)	2530000.00
realistic: 160 defs - incremental (edit middle block)	967380.00
profile: 80 lets - tokenize only	44320.00
profile: 80 lets - full reparse	122880.00
profile: 80 lets - incremental (edit tail)	234410.00
profile: 80 lets - incremental (edit head)	223970.00
profile: 320 lets - tokenize only	188900.00
profile: 320 lets - full reparse	521340.00
profile: 320 lets - incremental (edit tail)	1060000.00
profile: 320 lets - incremental (edit head)	979350.00
profile: 80 lets - tree build (normal events)	63990.00
profile: 80 lets - tree build (ReuseNode events)	39730.00
profile: 320 lets - tree build (normal events)	333660.00
profile: 320 lets - tree build (ReuseNode events)	179600.00
profile: 20 deep lets - full reparse	149220.00
profile: 20 deep lets - incremental (edit tail)	242010.00
profile: 20 very deep lets - full reparse	287560.00
profile: 20 very deep lets - incremental (edit tail)	460870.00
profile: 20 deep lets - build_tree (ReuseNode)	46240.00
profile: 20 deep lets - build_tree_fully_interned (ReuseNode)	68420.00
profile: closure call overhead - 960 calls	2410.00
profile: direct array access - 960 calls	2420.00
parse scaling - small (5 tokens)	2870.00
parse scaling - medium (15 tokens)	13170.00
parse scaling - large (30+ tokens)	22950.00
incremental vs full - edit at start	27690.00
incremental vs full - edit at end	37030.00
incremental vs full - edit in middle	37960.00
sequential edits - typing simulation	5950.00
sequential edits - backspace simulation	6450.00
incremental state baseline - repeated parsing	17530.00
incremental state baseline - similar expressions	8450.00
memory pressure - large document	56660.00
worst case - full invalidation	27720.00
best case - cosmetic change	9410.00
phase1: full tokenize - 110 tokens	11180.00
phase1: incremental tokenize - edit at start (110 tokens)	15330.00
phase1: incremental tokenize - edit in middle (110 tokens)	15450.00
phase1: incremental tokenize - edit at end (110 tokens)	15430.00
phase1: full re-tokenize after edit - 110 tokens	11230.00
parse_cst - small	1720.00
parse_cst - large	13920.00
phase3: full CST reparse, no cursor - 110 tokens	28480.00
phase3: cursor reuse, edit at end - 110 tokens	51790.00
phase3: cursor reuse, edit at start - 110 tokens	31700.00
phase4: let body edit - full reparse, no cursor (baseline)	1830.00
phase4: let body edit - init IntLiteral reused via cursor	1930.00
phase4: let init edit - cursor	2540.00
phase4: nested let body edit - multiple inits reused	3060.00
let-chain: 80 lets - initial parse	276500.00
let-chain: 320 lets - initial parse	1190000.00
let-chain: 80 lets - incremental single edit at tail	505480.00
let-chain: 320 lets - incremental single edit at tail	2250000.00
let-chain: 80 lets - edit-only at tail	232550.00
let-chain: 320 lets - edit-only at tail	996410.00
let-chain: 80 lets - full reparse	204310.00
let-chain: 320 lets - full reparse	812430.00
let-chain: 80 lets - 50-edit session incremental	16640000.00
let-chain: 80 lets - 50-edit session full reparse	10870000.00
let-chain: 320 lets - 50-edit session incremental	69440000.00
let-chain: 320 lets - 50-edit session full reparse	44320000.00
let-chain: 20 lambda lets - initial parse	260650.00
let-chain: 20 lambda lets - edit-only at tail	241880.00
let-chain: 20 lambda lets - full reparse	255490.00
heavy: large document - initial parse	224520.00
heavy: wide arithmetic 100 terms - initial parse	154630.00
heavy: nested application depth 50 - initial parse	1830000.00
heavy: large document - cst parse only	109050.00
heavy: typing session - 100 edits at end	14100000.00
heavy: typing session - 100 edits in middle	25420000.00
heavy: refactoring session - 100 scattered replacements	7740000.00
heavy: FULL REPARSE - 100 edits at end	16550000.00
heavy: FULL REPARSE - 100 edits in middle	18620000.00
heavy: FULL REPARSE - 100 scattered replacements	7860000.00
heavy: FULL REPARSE - large document initial parse	149290.00
scale: 100 terms - full reparse	103060.00
scale: 100 terms - incremental single edit	317460.00
scale: 100 terms - 50-edit session incremental	8090000.00
scale: 100 terms - 50-edit session full reparse	5580000.00
scale: 500 terms - full reparse	567020.00
scale: 500 terms - incremental single edit	1800000.00
scale: 500 terms - 50-edit session incremental	52680000.00
scale: 500 terms - 50-edit session full reparse	28720000.00
scale: 1000 terms - full reparse	1200000.00
scale: 1000 terms - incremental single edit	3980000.00
scale: 1000 terms - 50-edit session incremental	110950000.00
scale: 1000 terms - 50-edit session full reparse	60480000.00
grammar A (hand): let-chain 80 - initial parse	139650.00
grammar B (interp): let-chain 80 - initial parse	181330.00
grammar A (hand): deep lambda tree - full parse	191880.00
grammar B (interp): deep lambda tree - full parse	237930.00
grammar A (hand): let-chain 80 - incremental edit session (8 edits)	785920.00
grammar B (interp): let-chain 80 - incremental edit session (8 edits)	794230.00
grammar A (hand): deep lambda tree - incremental edit session	840900.00
grammar B (interp): deep lambda tree - incremental edit session	874530.00
fold benchmark: 80 lets - initial parse+fold	274590.00
fold benchmark: 80 lets - incremental fold after single edit	232370.00
fold benchmark: 320 lets - initial parse+fold	1200000.00
fold benchmark: 320 lets - incremental fold after single edit	1060000.00
concrete-syntax-tree - token constructor	73.90
concrete-syntax-tree - node constructor from 32 children	195.84
concrete-syntax-tree - equality identical 32 children	486.11
concrete-syntax-tree - equality mismatch hash fast path	14.17
interner - intern_token cold miss	182.11
interner - intern_token warm hit	53.67
build_tree - x + 1	374.93
build_tree_interned - x + 1, cold interner	725.26
build_tree_interned - x + 1, warm interner	423.18
build_tree - 100 identical ident tokens	3300.00
build_tree_interned - 100 identical tokens, warm interner	4030.00
build_tree_fully_interned - x + x, cold	921.39
build_tree_fully_interned - x + x, warm	664.94
build_tree_interned - x + x, warm	417.83
build_tree - x + x	378.04
node_interner - intern_node cold miss	92.23
node_interner - intern_node warm hit	74.63
parse_cst - end-to-end	4460.00
block-reparse: 80 blocks - edit inside block	324390.00
block-reparse: 320 blocks - edit inside block	1530000.00
block-reparse: 80 blocks - full reparse (baseline)	699370.00
block-reparse: 320 blocks - full reparse (baseline)	3310000.00
block-reparse: 80 blocks - 50-edit session	26260000.00
block-reparse: 320 blocks - 50-edit session	108070000.00
full parse - simple	1280.00
full parse - lambda	3830.00
full parse - nested lambdas	7250.00
full parse - arithmetic	5050.00
full parse - complex	12960.00
tokenization	773.77
incremental - initial parse	1770.00
incremental - small edit	5960.00
incremental - multiple edits	11280.00
incremental - replacement	9710.00
damage tracking	23.57
error recovery - valid	3820.00
error recovery - error	4700.00
full parse - let	4140.00
full parse - nested let	8190.00
incremental - let body edit	11300.00
incremental - let init edit	12940.00
bench: zero-width boundary reuse regular items=8 old=plain zw=0	2560.00
bench: zero-width boundary reuse regular items=8 old=plain zw=1	4190.00
bench: zero-width boundary reuse regular items=8 old=plain zw=2	5170.00
bench: zero-width boundary reuse regular items=8 old=plain zw=4	6920.00
bench: zero-width boundary reuse regular items=8 old=plain zw=8	10430.00
bench: zero-width boundary reuse regular items=8 old=plain zw=16	18360.00
bench: zero-width boundary reuse repeat items=64 old=plain zw=0	1280.00
bench: zero-width boundary reuse repeat items=64 old=plain zw=1	1920.00
bench: zero-width boundary reuse repeat items=64 old=plain zw=2	2410.00
bench: zero-width boundary reuse repeat items=64 old=plain zw=4	3340.00
bench: zero-width boundary reuse repeat items=64 old=plain zw=8	5200.00
bench: zero-width boundary reuse repeat items=64 old=plain zw=16	9040.00
bench: zero-width boundary reuse regular items=4 old=plain zw=8	4900.00
bench: zero-width boundary reuse repeat items=16 old=plain zw=8	2960.00
bench: zero-width boundary reuse regular items=8 old=token-interned zw=16	18320.00
bench: zero-width boundary reuse regular items=8 old=fully-interned zw=16	18250.00
bench: zero-width boundary reuse repeat items=64 old=token-interned zw=16	9040.00
bench: zero-width boundary reuse repeat items=64 old=fully-interned zw=16	9040.00
